Song Title,Artist,Album,Release Year,Genre,Lyrics
Bohemian Rhapsody,Queen,A Night at the Opera,1975,Rock,"Is this the real life? Is this just fantasy?
Caught in a landslide, no escape from reality
Open your eyes, look up to the skies and see
I'm just a poor boy, I need no sympathy
Because I'm easy come, easy go, little high, little low
Any way the wind blows doesn't really matter to me, to meMama, just killed a man
Put a gun against his head, pulled my trigger, now he's dead
Mama, life had just begun
But now I've gone and thrown it all away
Mama, ooh, didn't mean to make you cry
If I'm not back again this time tomorrow
Carry on, carry on as if nothing really mattersToo late, my time has come
Sends shivers down my spine, body's aching all the time
Goodbye, everybody, I've got to go
Gotta leave you all behind and face the truth
Mama, ooh (any way the wind blows)
I don't wanna die
I sometimes wish I'd never been born at allI see a little silhouetto of a man
Scaramouche, Scaramouche, will you do the Fandango?
Thunderbolt and lightning, very, very frightening me
(Galileo) Galileo, (Galileo) Galileo, Galileo Figaro, magnifico
But I'm just a poor boy, nobody loves me
He's just a poor boy from a poor family
Spare him his life from this monstrosityEasy come, easy go, will you let me go?
ب?س??? ٱ????ٰ??
No, we will not let you go (let him go)
ب?س??? ٱ????ٰ??
We will not let you go (let him go)
ب?س??? ٱ????ٰ??
We will not let you go (let me go)
Will not let you go (let me go)
Never, never, never, never let me go
No, no, no, no, no, no, noOh, mamma mia, mamma mia
Mamma mia, let me go
Beelzebub has a devil put aside for me, for me, for meSo you think you can stone me and spit in my eye?
So you think you can love me and leave me to die?
Oh, baby, can't do this to me, baby
Just gotta get out, just gotta get right outta hereOoh
Ooh, yeah, ooh, yeahNothing really matters, anyone can see
Nothing really matters
Nothing really matters to me"
Shape of You,Ed Sheeran,÷ (Divide),2017,Pop,"The club isn't the best place to find a lover
So the bar is where I go
Me and my friends at the table doing shots
Drinking fast and then we talk slow
Come over and start up a conversation with just me
And trust me I'll give it a chance now
Take my hand, stop, put Van the Man on the jukebox
And then we start to dance, and now I'm singing likeGirl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my leadI'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of youOne week in we let the story begin
We're going out on our first date
You and me are thrifty, so go all you can eat
Fill up your bag and I fill up a plate
We talk for hours and hours about the sweet and the sour
And how your family is doing okay
And leave and get in a taxi, then kiss in the backseat
Tell the driver make the radio play, and I'm singing likeGirl, you know I want your love
Your love was handmade for somebody like me
Come on now, follow my lead
I may be crazy, don't mind me
Say, boy, let's not talk too much
Grab on my waist and put that body on me
Come on now, follow my lead
Come, come on now, follow my leadI'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
(Oh-I-oh-I-oh-I-oh-I)
I'm in love with your body
Every day discovering something brand new
I'm in love with the shape of youCome on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come on
Come on, be my baby, come onI'm in love with the shape of you
We push and pull like a magnet do
Although my heart is falling too
I'm in love with your body
And last night you were in my room
And now my bedsheets smell like you
Every day discovering something brand new
I'm in love with your body
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Come on, be my baby, come on
Come on (I'm in love with your body), be my baby, come on
Every day discovering something brand new
I'm in love with the shape of you"
Rolling in the Deep,Adele,21,2010,Pop Soul,"There's a fire starting in my heart
Reaching a fever pitch, it's bringing me out the dark
Finally I can see you crystal clear
Go ahead and sell me out and I'll lay your ship bareSee how I'll leave with every piece of you
Don't underestimate the things that I will do
There's a fire starting in my heart
Reaching a fever pitch and it's bringing me out the darkThe scars of your love remind me of us
They keep me thinking that we almost had it all
The scars of your love they leave me breathless
I can't help feelingWe could've had it all (you're gonna wish you)
(Never had met me)
Rolling in the deep (tears are gonna fall)
(Rolling in the deep)You had my heart inside (you're gonna wish you)
Of your hands (never had met me)
And you played it (tears are gonna fall)
To the beat (rolling in the deep)Baby, I have no story to be told
But I've heard one on you, now I'm gonna make your head burn
Think of me in the depths of your despair
Make a home down there, as mine sure won't be sharedThe scars of your love (never had met me)
Remind me of us (tears are gonna fall)
They keep me thinking (rolling in the deep)
That we almost had it all (you're gonna wish you)
The scars of your love (never had met me)
They leave me breathless (tears are gonna fall)
I can't help feeling (rolling in the deep)We could've had it all (you're gonna wish you)
(Never had met me)
Rolling in the deep (tears are gonna fall)
(Rolling in the deep)You had my heart inside (you're gonna wish you)
Of your hands (never had met me)
And you played it (tears are gonna fall)
To the beat (rolling in the deep)We could've had it all
Rolling in the deep
You had my heart inside of your hand
But you played it with a beatingThrow your soul through every open door (whoa)
Count your blessings to find what you look for (whoa)
Turn my sorrow into treasured gold (whoa)
You pay me back in kind and reap just what you've sownWe could've had it all (tears are gonna fall, rolling in the deep)
We could've had it all (you're gonna wish you never had met me)
It all, it all, it all (tears are gonna fall, rolling in the deep)We could've had it all (you're gonna wish you)
(Never had met me)
Rolling in the deep (tears are gonna fall)
(Rolling in the deep)You had my heart inside (you're gonna wish you)
Of your hands (never had met me)
And you played it (tears are gonna fall)
To the beat (rolling in the deep)Could've had it all (you're gonna wish you)
(Never had met me)
Rolling in the deep (tears are gonna fall)
(Rolling in the deep)You had my heart inside (you're gonna wish you)
Of your hands (never had met me)
But you played it, you played it, you played it
You played it to the beat"
Hotel California,Eagles,Hotel California,1976,Rock,"On a dark desert highway
Cool wind in my hair
Warm smell of colitas
Rising up through the air
Up ahead in the distance
I saw a shimmering light
Head grew heavy and my sight grew dim
I had to stop for the nightThere she stood in the doorway
I heard the mission bell
And I was thinking to myself
""This could be heaven or this could be hell""
Then she lit up a candle
She showed me the way
There were voices down the corridor
Thought I heard them sayWelcome to the Hotel California
Such a lovely place (such a lovely place), such a lovely face
There's plenty of room at the Hotel California
Any time of year (any time of year), oh, you can find it hereHer mind is Tiffany twisted
She got the Mercedes Benz, uh
She got a lot of pretty-pretty boys
Who she calls friends
How they dance in the courtyard
Sweet summer sweat
Some dance to remember
Some dance to forgetSo I called up the captain
Please bring me my wine, he said
""We haven't had that spirit here since 1969""
And still those voices are calling from far away
Wake you up in the middle of the night
Just to hear them sayWelcome to the Hotel California
Such a lovely place (such a lovely place), such a lovely face
We're living it up at the Hotel California
Oh, what a nice surprise (what a nice surprise), bring your alibisMirrors on the ceiling
With pink champagne on ice, and she said
""We are all just prisoners here of our own device""
And in the master's chambers
They gathered for the feast
Stab it with their steely knives
But they just can't kill the beastLast thing I remember
I was running for the door
Had to find the passage back to the place I was before
""Relax"", said the night man
""We are programmed to receive""
You can check out any time you like, but you can never leav"
Smells Like Teen Spirit,Nirvana,Nevermind,1991,Grunge,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's over bored and self-assured
Oh, no, I know a dirty wordHello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, helloWith the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libido, yeah
Hey
YeahI'm worse at what I do best
And for this gift I feel blessed
Our little group it's always been
And always will until the endHello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, helloWith the lights out, it's less dangerous
Here we are now entertain us
I feel stupid and contagious
Here we are now entertain us
A mulatto, an albino
A mosquito, my libido, yeah
Hey
YeahAnd I forget, just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, never mindHello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, hello, how low?
Hello, hello, helloWith the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid, and contagious
Here we are now, entertain us
A mulatto, an albino
A mosquito, my libidoA denial, a denial
A denial, a denial
A denial, a denial
A denial, a denial
A denial"
I Will Always Love You,Whitney Houston,The Bodyguard: Original Soundtrack Album,1992,R&B Soul,"If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you every step of the wayAnd I will always love you
I will always love you
You
My darling, you, mm, mmBittersweet memories
That is all I'm taking with me
So goodbye, please don't cry
We both know I'm not what you, you needAnd I will always love you
I will always love you
YouI hope life treats you kind
And I hope you have all you've dreamed of
And I wish you joy and happiness
But above all this, I wish you loveAnd I will always love you
I will always love you
I will always love you
I will always love you
I will always love you
I, I will always love youYou
Darling, I love you
I'll always, I'll always love you"
Boogie Wonderland,"Earth, Wind & Fire",I Am,1979,Funk Disco,"Dance, Boogie Wonderland, hey, hey
Dance, Boogie WonderlandMidnight creeps so slowly into hearts of men
Who need more than they get
Daylight deals a bad hand to a woman
Who has laid too many betsThe mirror stares you in the face and says
""Baby, uh, uh, it don't work""
You say your prayers though you don't care
You dance and shake the hatDance, Boogie Wonderland, hey, hey
Dance, Boogie WonderlandSound fly through the night
I chase my vinyl dreams to Boogie Wonderland
I find romance when I start to dance in Boogie Wonderland
I find romance when I start to dance in Boogie WonderlandAll the love in the world can't be gone
All the need to be loved can't be wrong
All the records are playing and my heart keeps saying
""Boogie Wonderland, Wonderland""Dance, Boogie Wonderland, hey, hey
Dance, Boogie Wonderland, hey, heyI find romance when I start to dance in Boogie Wonderland
I find romance when I start to dance in Boogie Wonderland
Dance, dance (Boogie Wonderland), dance, dance
Dance, dance (Boogie Wonderland), dance, danceWonderland
WonderlandAll the love in the world can't be gone (love in the world can't be gone)
All the need to be loved can't be wrong (need to be loved can't be wrong)
All the records are playing and my heart keeps saying
Boogie Wonderland, WonderlandDance, Boogie Wonderland, hey, hey
Dance, Boogie Wonderland, hey, heyI find romance when I start to dance in Boogie Wonderland
I find romance when I start to dance in Boogie Wonderland
Dance, dance, dance (Boogie Wonderland), dance, dance, dance, dance
Dance, dance (Boogie Wonderland), dance"
Billie Jean,Michael Jackson,Thriller,1982,Pop Funk,"She was more like a beauty queen from a movie scene
I said don't mind, but what do you mean, I am the one
Who will dance on the floor in the round?
She said I am the one, who will dance on the floor in the roundShe told me her name was Billie Jean, as she caused a scene
Then every head turned with eyes that dreamed of being the one
Who will dance on the floor in the roundPeople always told me be careful of what you do
And don't go around breaking young girls' hearts
And mother always told me be careful of who you love
And be careful of what you do 'cause the lie becomes the truthBillie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my sonFor forty days and forty nights
The law was on her side
But who can stand when she's in demand
Her schemes and plans
'Cause we danced on the floor in the round
So take my strong advice, just remember to always think twice
(Do think twice, do think twice)She told my baby we'd danced 'til three, then she looked at me
Then showed a photo my baby cried his eyes were like mine (oh, no)
'Cause we danced on the floor in the round, babyPeople always told me be careful of what you do
And don't go around breaking young girls' hearts
She came and stood right by me
Just the smell of sweet perfume
This happened much too soon
She called me to her roomBillie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my sonBillie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my sonShe says I am the one, but the kid is not my sonBillie Jean is not my lover
She's just a girl who claims that I am the one
But the kid is not my son
She says I am the one, but the kid is not my sonShe says I am the one
You know what you did, (she says he is my son) breaking my heart babe
She says I am the oneBillie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover
Billie Jean is not my lover (don't Billie Jean)
Billie Jean is not my lover
Billie Jean is not my lover"
Purple Rain,Prince and The Revolution,Purple Rain,1984,Pop Rock,"I never meant to cause you any sorrow

I never meant to cause you any pain

I only wanted to one time to see you laughing

I only wanted to see you

Laughing in the purple rain



Purple rain, purple rain

Purple rain, purple rain

Purple rain, purple rain

I only wanted to see you

Bathing in the purple rain



I never wanted to be your weekend lover

I only wanted to be some kind of friend

Baby, I could never steal you from another

It's such a shame our friendship had to end



Purple rain, purple rain

Purple rain, purple rain

Purple rain, purple rain

I only wanted to see you

Underneath the purple rain



Honey, I know, I know

I know times are changing

It's time we all reach out

For something new, that means you too



You say you want a leader

But you can't seem to make up your mind

I think you better close it

And let me guide you to the purple rain



Purple rain, purple rain

Purple rain, purple rain

If you know what I'm singing about up here

C'mon, raise your hand



Purple rain, purple rain

I only want to see you

Only want to see you

In the purple rain"
Hey Jude,The Beatles,"Single release (B-side: ""Revolution"")",1968,Rock,"Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her into your heart,
Then you can start to make it better.Hey Jude, don't be afraid.
You were made to go out and get her.
The minute you let her under your skin,
Then you begin to make it better.And anytime you feel the pain, hey Jude, refrain,
Don't carry the world upon your shoulders.
For well you know that it's a fool who plays it cool
By making his world a little colder.Hey Jude, don't let me down.
You have found her, now go and get her.
Remember to let her into your heart,
Then you can start to make it better.So let it out and let it in, hey Jude, begin,
You're waiting for someone to perform with.
And don't you know that it's just you, hey Jude, you'll do,
The movement you need is on your shoulder.Hey Jude, don't make it bad.
Take a sad song and make it better.
Remember to let her under your skin,
Then you'll begin to make it
Better better better better better better, oh.Na na na nananana, nannana, hey Jude... 
(repeat X number of times, fade)"
